essay id	misspelled words	words	words per sentence	lexical diversity	raw score	normalized score
6079	10	94	18.8	0.5957446808510640	3	1
6080	8	75	10.714285714285700	0.6	2	1
6081	1	28	7.0	0.7857142857142860	2	1
6082	2	44	11.0	0.6818181818181820	1	0
6083	0	21	10.5	0.9047619047619050	1	0
6084	7	73	14.6	0.684931506849315	3	1
6085	7	142	23.666666666666700	0.7464788732394370	3	1
6086	2	52	17.333333333333300	0.7884615384615380	1	0
6087	3	50	8.333333333333330	0.72	2	1
6088	11	105	7.0	0.5238095238095240	2	1
6089	11	98	16.333333333333300	0.8673469387755100	3	1
6090	1	50	12.5	0.78	1	0
6091	5	86	12.285714285714300	0.7325581395348840	3	1
6092	2	28	9.333333333333330	0.8571428571428570	1	0
6093	1	22	7.333333333333330	0.9090909090909090	1	0
6094	0	83	9.222222222222220	0.6144578313253010	1	0
6095	13	149	14.9	0.7248322147651010	3	1
6096	8	90	12.857142857142900	0.7333333333333330	2	1
6097	2	17	17.0	0.9411764705882350	1	0
6098	7	74	10.571428571428600	0.7567567567567570	3	1
6099	6	31	15.5	0.9354838709677420	1	0
6100	9	112	22.4	0.6517857142857140	2	1
6101	9	75	6.818181818181820	0.5333333333333330	2	1
6102	7	84	12.0	0.7023809523809520	2	1
6103	3	101	11.222222222222200	0.6633663366336630	2	1
6104	5	20	10.0	0.95	1	0
6105	7	155	9.117647058823530	0.6064516129032260	3	1
6106	5	72	10.285714285714300	0.625	1	0
6107	11	94	13.428571428571400	0.7127659574468090	2	1
6108	6	42	14.0	0.7380952380952380	1	0
6109	3	70	23.333333333333300	0.7142857142857140	2	1
6110	4	67	8.375	0.6567164179104480	2	1
6111	8	64	12.8	0.859375	2	1
6112	3	46	11.5	0.782608695652174	1	0
6113	4	85	10.625	0.6823529411764710	3	1
6114	0	20	6.666666666666670	0.85	1	0
6115	0	27	9.0	0.7777777777777780	2	1
6116	9	80	11.428571428571400	0.7375	2	1
6117	2	83	7.545454545454550	0.6506024096385540	1	0
6118	11	96	32.0	0.8333333333333330	3	1
6119	7	58	19.333333333333300	0.7241379310344830	1	0
6120	1	67	7.444444444444450	0.7014925373134330	2	1
6121	4	90	11.25	0.7222222222222220	3	1
6122	7	67	13.4	0.8208955223880600	2	1
6123	8	90	8.181818181818180	0.7111111111111110	3	1
6124	5	101	12.625	0.7425742574257430	3	1
6125	0	40	10.0	0.75	2	1
6126	5	54	10.8	0.7222222222222220	1	0
6127	9	116	11.6	0.7327586206896550	3	1
6128	8	99	33.0	0.7777777777777780	3	1
6129	9	66	11.0	0.7272727272727270	2	1
6130	5	54	13.5	0.7407407407407410	1	0
6131	5	41	10.25	0.8048780487804880	1	0
6132	4	80	8.88888888888889	0.65	3	1
6133	2	29	9.666666666666670	0.8620689655172410	1	0
6134	9	103	10.3	0.6990291262135920	2	1
6135	6	56	11.2	0.7321428571428570	2	1
6136	1	45	9.0	0.6222222222222220	1	0
6137	1	81	20.25	0.7530864197530860	2	1
6138	5	75	12.5	0.8	2	1
6139	4	69	9.857142857142860	0.6231884057971010	2	1
6140	4	78	9.75	0.6794871794871800	1	0
6141	4	65	10.833333333333300	0.7076923076923080	2	1
6142	2	95	15.833333333333300	0.6736842105263160	2	1
6143	10	98	12.25	0.8163265306122450	3	1
6144	10	85	14.166666666666700	0.7294117647058820	3	1
6145	13	110	15.714285714285700	0.7181818181818180	3	1
6146	6	124	13.777777777777800	0.6048387096774190	2	1
6147	5	40	10.0	0.8	2	1
6148	2	33	5.5	0.8181818181818180	2	1
6149	8	80	11.428571428571400	0.7125	2	1
6150	2	88	14.666666666666700	0.6818181818181820	2	1
6151	8	80	16.0	0.875	2	1
6152	5	81	13.5	0.7530864197530860	2	1
6153	2	59	9.833333333333330	0.7457627118644070	2	1
6154	1	11	11.0	1.0	1	0
6155	4	64	10.666666666666700	0.71875	1	0
6156	7	65	13.0	0.6615384615384620	2	1
6157	15	122	12.2	0.819672131147541	3	1
6158	6	126	10.5	0.6428571428571430	3	1
6159	2	75	10.714285714285700	0.7066666666666670	2	1
6160	4	79	13.166666666666700	0.6835443037974680	2	1
6161	5	65	10.833333333333300	0.7230769230769230	2	1
6162	5	109	7.266666666666670	0.6788990825688070	2	1
6163	3	27	5.4	0.8148148148148150	1	0
6164	3	71	11.833333333333300	0.6901408450704230	2	1
6165	8	120	20.0	0.7166666666666670	3	1
6166	1	15	7.5	0.9333333333333330	1	0
6167	1	22	22.0	1.0	3	1
6168	5	64	12.8	0.796875	2	1
6169	5	115	11.5	0.7043478260869570	2	1
6170	1	82	8.2	0.7439024390243900	1	0
6171	9	96	12.0	0.6979166666666670	3	1
6172	5	90	15.0	0.7333333333333330	2	1
6173	2	32	8.0	0.71875	1	0
6174	3	44	8.8	0.6818181818181820	2	1
6175	13	44	22.0	0.8863636363636360	1	0
6176	2	55	9.166666666666670	0.7818181818181820	1	0
6177	9	108	18.0	0.7129629629629630	2	1
6178	2	72	12.0	0.6111111111111110	3	1
6179	0	14	7.0	0.8571428571428570	2	1
6180	11	152	9.5	0.5986842105263160	3	1
6181	3	73	12.166666666666700	0.7808219178082190	3	1
6182	10	122	13.555555555555600	0.6967213114754100	3	1
6183	7	105	11.666666666666700	0.6095238095238100	3	1
6184	4	48	9.6	0.6875	1	0
6185	5	67	9.571428571428570	0.7014925373134330	2	1
6186	0	37	7.4	0.8378378378378380	2	1
6187	0	26	8.666666666666670	0.8461538461538460	1	0
6188	0	11	5.5	1.0	0	0
6189	3	42	8.4	0.7619047619047620	1	0
6190	5	125	8.928571428571430	0.624	2	1
6191	16	86	17.2	0.813953488372093	2	1
6192	5	103	14.714285714285700	0.8155339805825240	3	1
6193	3	48	6.0	0.75	1	0
6194	6	146	10.428571428571400	0.6575342465753420	3	1
6195	6	89	9.88888888888889	0.6629213483146070	3	1
6196	5	42	14.0	0.7857142857142860	1	0
6197	6	87	9.666666666666670	0.6781609195402300	2	1
6198	9	114	12.666666666666700	0.5877192982456140	3	1
6199	0	38	6.333333333333330	0.6578947368421050	2	1
6200	14	110	9.166666666666670	0.7727272727272730	0	0
6201	2	23	7.666666666666670	0.8695652173913040	2	1
6202	0	25	12.5	0.92	1	0
6203	3	133	7.823529411764710	0.5338345864661650	3	1
6204	10	120	13.333333333333300	0.7333333333333330	1	0
6205	2	26	13.0	0.9615384615384620	2	1
6206	4	38	7.6	0.6578947368421050	0	0
6207	0	19	9.5	0.8421052631578950	0	0
6208	7	87	12.428571428571400	0.735632183908046	3	1
6209	2	51	8.5	0.803921568627451	2	1
6210	6	73	14.6	0.7945205479452050	2	1
6211	5	51	17.0	0.7647058823529410	1	0
6212	5	84	14.0	0.75	2	1
6213	4	32	10.666666666666700	0.75	1	0
6214	0	42	10.5	0.6904761904761910	1	0
6215	0	39	9.75	0.8717948717948720	1	0
6216	2	98	14.0	0.7040816326530610	2	1
6217	3	27	9.0	0.7777777777777780	1	0
6218	5	63	9.0	0.7301587301587300	2	1
6219	5	95	15.833333333333300	0.7263157894736840	2	1
6220	7	109	8.384615384615390	0.6788990825688070	2	1
6221	0	59	11.8	0.6101694915254240	2	1
6222	2	50	8.333333333333330	0.68	2	1
6223	6	109	10.9	0.6422018348623850	3	1
6224	2	26	13.0	0.7307692307692310	2	1
6225	7	101	11.222222222222200	0.6534653465346540	3	1
6226	4	59	9.833333333333330	0.6779661016949150	3	1
6227	7	45	15.0	0.8666666666666670	1	0
6228	10	120	12.0	0.675	3	1
6229	2	13	13.0	1.0	1	0
6230	3	25	12.5	0.88	1	0
6231	8	69	13.8	0.7391304347826090	2	1
6232	8	73	24.333333333333300	0.7534246575342470	1	0
6233	0	11	11.0	1.0	2	1
6234	3	36	12.0	0.8333333333333330	1	0
6235	2	24	12.0	0.9583333333333330	1	0
6236	3	69	8.625	0.8115942028985510	2	1
6237	10	89	11.125	0.7078651685393260	2	1
6238	0	23	5.75	0.8695652173913040	0	0
6239	4	106	15.142857142857100	0.7264150943396230	2	1
6240	8	100	11.11111111111110	0.62	3	1
6241	1	30	10.0	0.9	1	0
6242	1	10	10.0	1.0	1	0
6243	1	97	10.777777777777800	0.6804123711340210	2	1
6244	0	52	7.428571428571430	0.6923076923076920	1	0
6245	10	111	10.090909090909100	0.7207207207207210	3	1
6246	10	105	17.5	0.6952380952380950	1	0
6247	9	85	14.166666666666700	0.7058823529411770	3	1
6248	3	40	13.333333333333300	0.7	1	0
6249	5	143	11.0	0.6223776223776220	3	1
6250	13	142	8.875	0.6690140845070420	3	1
6251	7	34	17.0	0.9117647058823530	1	0
